Origin,Destination,Population,Cases2021,Incidence2021
Clay County,Alabama,11,91,1.8
Coahoma County,Alabama,14,91,1.8
DeSoto County,Alabama,90,91,1.8
Forrest County,Alabama,73,91,1.8
George County,Alabama,170,91,1.8
Greene County,Alabama,138,91,1.8
Grenada County,Alabama,7,91,1.8
Hancock County,Alabama,12,91,1.8
Harrison County,Alabama,723,91,1.8
Hinds County,Alabama,537,91,1.8
Holmes County,Alabama,8,91,1.8
Humphreys County,Alabama,17,91,1.8
Itawamba County,Alabama,73,91,1.8
Jackson County,Alabama,599,91,1.8
Jones County,Alabama,21,91,1.8
Kemper County,Alabama,9,91,1.8
Lafayette County,Alabama,108,91,1.8
Lamar County,Alabama,110,91,1.8
Lauderdale County,Alabama,405,91,1.8
Leake County,Alabama,53,91,1.8
Lee County,Alabama,263,91,1.8
Leflore County,Alabama,31,91,1.8
Lowndes County,Alabama,231,91,1.8
Madison County,Alabama,317,91,1.8
Marshall County,Alabama,30,91,1.8
Monroe County,Alabama,43,91,1.8
Neshoba County,Alabama,5,91,1.8
Newton County,Alabama,4,91,1.8
Oktibbeha County,Alabama,434,91,1.8
Panola County,Alabama,5,91,1.8
Pearl River County,Alabama,69,91,1.8
Pike County,Alabama,3,91,1.8
Pontotoc County,Alabama,94,91,1.8
Prentiss County,Alabama,20,91,1.8
Rankin County,Alabama,377,91,1.8
Sharkey County,Alabama,4,91,1.8
Simpson County,Alabama,19,91,1.8
Stone County,Alabama,18,91,1.8
Sunflower County,Alabama,12,91,1.8
Tate County,Alabama,10,91,1.8
Tippah County,Alabama,46,91,1.8
Tishomingo County,Alabama,19,91,1.8
Warren County,Alabama,6,91,1.8
Washington County,Alabama,45,91,1.8
Wayne County,Alabama,34,91,1.8
Webster County,Alabama,107,91,1.8
Wilkinson County,Alabama,8,91,1.8
Winston County,Alabama,47,91,1.8
Boone County,Alabama,30,91,1.8
Buchanan County,Alabama,25,91,1.8
Butler County,Alabama,92,91,1.8
Camden County,Alabama,63,91,1.8
Carroll County,Alabama,2,91,1.8
Greene County,Alabama,39,91,1.8
Howell County,Alabama,40,91,1.8
Jackson County,Alabama,152,91,1.8
Jasper County,Alabama,83,91,1.8
Jefferson County,Alabama,54,91,1.8
Johnson County,Alabama,339,91,1.8
Lewis County,Alabama,23,91,1.8
Lincoln County,Alabama,1,91,1.8
Morgan County,Alabama,14,91,1.8
Newton County,Alabama,9,91,1.8
Oregon County,Alabama,17,91,1.8
Osage County,Alabama,4,91,1.8
Pemiscot County,Alabama,10,91,1.8
Pettis County,Alabama,34,91,1.8
Phelps County,Alabama,18,91,1.8
Platte County,Alabama,15,91,1.8
Pulaski County,Alabama,281,91,1.8
Ralls County,Alabama,9,91,1.8
Randolph County,Alabama,24,91,1.8
Ray County,Alabama,1,91,1.8
St. Charles County,Alabama,407,91,1.8
St. Francois County,Alabama,31,91,1.8
St. Louis County,Alabama,307,91,1.8
Scott County,Alabama,19,91,1.8
St. Louis City,Alabama,107,91,1.8
Cascade County,Alabama,37,91,1.8
Dawson County,Alabama,37,91,1.8
Deer Lodge County,Alabama,4,91,1.8
Flathead County,Alabama,173,91,1.8
Gallatin County,Alabama,49,91,1.8
Glacier County,Alabama,5,91,1.8
Judith Basin County,Alabama,5,91,1.8
Lewis and Clark County,Alabama,16,91,1.8
Pondera County,Alabama,3,91,1.8
Ravalli County,Alabama,1,91,1.8
Richland County,Alabama,38,91,1.8
Roosevelt County,Alabama,7,91,1.8
Silver Bow County,Alabama,10,91,1.8
Yellowstone County,Alabama,4,91,1.8
Box Butte County,Alabama,37,91,1.8
